"","species","weight"
"1169","dime",68
"1170","dime",42
"1171","pgfv",7
"1172","dime",40
"1173","dime",40
"1174","dime",33
"1175","dime",45
"1176","pgfv",5
"1177","onar",14
"1178","disp",108
"1179","pgfv",7
"1180","dime",39
"1181","dime",41
"1182","neal",50
"1183","dime",34
"1184","disp",88
"1185","dime",29
"1186","dime",33
"1187","dime",40
"1188","pgfv",7
"1189","dime",46
"1190","onar",20
"1191","pmer",26
"1192","dime",30
"1193","dime",44
"1194","pgfv",5
"1195","disp",120
"1196","dime",46
"1197","dime",39
"1198","dime",44
"1199","dime",47
"1200","dime",26
"1201","pgfv",9
"1202","pgfv",7
"1203","dime",31
"1204","dime",35
"1205","dime",44
"1206","pgfv",7
"1207","dime",43
"1208","dime",37
"1209","dime",50
"1210","disp",120
"1211","dime",41
"1212","dime",44
"1213","dime",41
"1214","dime",41
"1215","dime",41
"1216","dime",41
"1217","pmer",23
"1218","pmer",19
"1219","disp",130
"1220","dime",41
"1221","pmer",22
"1222","disp",126
"1223","dime",44
"1224","disp",116
"1225","dime",40
"1226","dime",41
"1227","pmer",22
"1228","dime",43
"1229","dime",41
"1230","disp",131
"1231","dime",39
"1232","dime",45
"1233","pmer",20
"1234","dime",41
"1235","pmer",21
"1236","dime",46
"1237","dime",39
"1238","dime",49
"1239","dime",43
"1240","dime",41
"1241","dime",40
"1242","dior",55
"1243","dime",36
"1244","dime",41
"1245","dime",42
"1246","disp",122
"1247","pgfv",6
"1248","dime",39
"1249","disp",124
"1250","dime",41
"1251","dime",42
"1252","dime",44
"1253","dime",40
"1254","dime",45
"1255","dime",41
"1256","onar",18
"1257","dime",43
"1258","pmer",23
"1259","dime",45
"1260","dime",46
"1261","dime",40
"1262","dime",40
"1263","pgfv",7
"1264","pmer",21
"1265","dime",44
"1266","pmer",20
"1267","pmer",16
"1268","dime",39
"1269","dime",42
"1270","dime",46
"1271","dime",38
"1272","dime",46
"1273","disp",110
"1274","onar",14
"1275","dime",44
"1276","dime",36
"1277","dime",42
"1278","onar",18
"1279","pmer",22
"1280","dime",41
"1281","dime",43
"1282","dime",39
"1283","remn",13
"1284","dime",40
"1285","dime",44
"1286","pgfv",6
"1287","dime",46
"1288","pgfv",7
"1289","dime",38
"1290","dime",42
"1291","dime",45
"1292","pmer",24
"1293","disp",131
"1294","dime",44
"1295","dime",43
"1296","dime",37
"1297","dime",41
"1298","onar",8
"1299","dime",36
"1300","dime",46
"1301","neal",128
"1302","dime",38
"1303","dime",38
"1304","dime",39
"1305","dime",43
"1306","dime",41
"1307","pmer",18
"1308","dime",39
"1309","dime",43
"1310","dior",49
"1311","dime",39
"1312","neal",210
"1313","dime",38
"1314","dime",42
"1315","dime",41
"1316","dime",48
