"","species","wgt"
"1522","DM",48
"1523","DM",40
"1524","DO",53
"1525","DO",29
"1526","PF",8
"1527","DO",50
"1528","DM",40
"1529","OT",23
"1530","OL",32
"1531","OL",34
"1532","OL",36
"1533","DM",46
"1534","DS",136
"1535","DS",114
"1536","PF",10
"1537","DM",37
"1538","DS",132
"1539","DM",36
"1540","OL",29
"1541","OL",23
"1542","DM",47
"1543","DM",49
"1544","DM",45
"1545","DM",48
"1546","DM",26
"1547","DM",49
"1548","DM",40
"1549","DM",45
"1550","NA",214
"1551","NA",114
"1552","DS",131
"1553","DM",37
"1554","DM",49
"1555","DS",68
"1556","NA",120
"1557","DM",37
"1558","DM",49
"1559","DM",47
"1560","OT",20
"1561","OT",25
"1562","OL",32
"1563","RM",9
"1564","OL",31
"1565","DO",50
"1566","NA",187
"1567","DM",33
"1568","DS",132
"1569","DM",29
"1570","DO",51
"1571","DO",32
"1572","DS",150
"1573","OL",27
"1574","OT",25
"1575","DM",25
"1576","DS",142
"1577","DM",40
"1578","DS",120
"1579","DM",54
"1580","DS",105
"1581","OT",24
"1582","RM",9
"1583","DM",45
"1584","PE",21
"1585","OL",41
"1586","OL",40
"1587","PF",7
"1588","DS",142
"1589","DS",143
"1590","DM",43
"1591","OL",35
"1592","OL",39
"1593","DO",47
"1594","DM",43
"1595","DS",133
"1596","DO",50
"1597","DS",103
"1598","DO",46
"1599","OL",35
"1600","PF",7
"1601","RM",16
"1602","OL",32
"1603","DM",36
"1604","DM",50
"1605","DM",40
"1606","DM",47
"1607","DM",42
"1608","DM",23
"1609","DM",24
"1610","RM",8
"1611","DM",42
"1612","DS",71
"1613","DM",46
"1614","DM",42
"1615","NA",147
"1616","DM",47
"1617","DS",128
"1618","OL",37
"1619","OL",35
"1620","DO",52
"1621","DO",44
"1622","RM",12
"1623","DS",142
"1624","PF",7
"1625","DS",117
"1626","DM",59
"1627","DM",44
"1628","OL",37
"1629","DM",51
"1630","DM",44
"1631","DM",49
"1632","DS",131
"1633","PF",5
"1634","DS",133
"1635","DS",81
"1636","DS",82
"1637","DS",78
"1638","DS",138
"1639","DM",44
"1640","DS",134
"1641","DM",47
"1642","DS",61
"1643","DS",91
"1644","DS",92
"1645","DS",113
"1646","OL",36
"1647","DM",45
"1648","DS",134
"1649","NA",97
"1650","DM",51
"1651","RM",9
"1652","DM",45
"1653","DM",53
"1654","DM",50
"1655","DM",42
"1656","DS",90
"1657","OL",37
"1658","PF",7
"1659","DM",45
"1660","DM",54
